id,name,kana,romaji,icon,url,workTags,gender,種族タグ,モチーフタグ,職業タグ,小物タグ,ワンポイントタグ
16,鍵合アヤ,かぎあい あや,Kagiai Aya,image/kagiai-aya.png,https://vividseekers.utau.sorairomarch.com,#そらいろマーチ,無性別,バーチャル,,,,
17,鍵合スズ,かぎあい すず,Kagiai Suzu,image/kagiai-suzu.png,https://vividseekers.utau.sorairomarch.com,#そらいろマーチ,無性別,バーチャル,,ヤンキー,,
18,​拡音シャノン,かくね しゃのん,Kakune Shanonn,image/kakune-shanonn.png,https://ameutaulii.wixsite.com/telepathycapsule,#拡音シャノン,女性,,,,ヘアピン|拡声器,
19,重音テッド,かさね てっど,Kasane Teddo,image/kasane-teddo.png,https://kasaneteto.jp,#重音テッド,不明,バーチャル|キメラ,,,イヤーユニット,
20,重音テト,かさね てと,Kasane Teto,image/kasane-teto.png,https://kasaneteto.jp,#重音テト,不明,バーチャル|キメラ,,,,
21,化炭ウア,かすみ うあ,Kasumi Ua,image/kasumi-ua.png,https://bowlroll.net/user/980255,#歌う雨やどり,女性,堕天使,,,,両目隠れ|羽
22,カゼヒキ,かぜひき,Kazehiki,image/kazehiki.png,https://kurukuru2suuzi.wixsite.com/kuzutokaze,#くずかぜ,男性,人間,,司祭,ヘイロー|十字架,片目隠れ
23,カタバミ,かたばみ,Katabami,image/katabami.png,https://seirentoybox.jimdofree.com,#セレソー作,不明,人間|双子,,,眼鏡,
24,型番不明,かたばんふめい,Katabanhumei,image/katabanhumei.png,https://moqujc.wixsite.com/mqtop,#MQAW,男性,機械,,,ヘアピン|眼鏡,片目隠れ
25,花撫シア,かなで しあ,Kanade Shia,image/kanade-shia.png,https://itsuriutau.wixsite.com/kanadeshia,#花撫シア,女性,人間,,アイドル,,オッドアイ|ほくろ
26,花撫シオン,かなで しおん,Kanade Shion,image/kanade-shion.png,https://itsuriutau.wixsite.com/kanadeshia,#花撫シオン,男性,人間,,アイドル,,ほくろ
27,歌為にーと,かなり にーと,Kanari Nito,image/kanari-nito.png,https://kinomihautaimas.wixsite.com/dongurihiroba,#きのみあーと,不明,人間,星,ニート,,
28,空音響歌,からね きょうか,Karane Kyoka,image/karane-kyoka.png,https://kaitoramma.chu.jp,#空音絵巻,女性,人間,,,,
29,空音ヒビキ,からね ひびき,Karane Hibiki,image/karane-hibiki.png,https://kaitoramma.chu.jp,#空音絵巻,無性別,人間,,,銃,
30,キエン,きえん,Kiyenn,image/kiyenn.png,https://utaunanaproplus.wixsite.com/of-web,#TNPGateway,女性,人魚,,,,
31,喜檄わろた,きげき わろた,Kigeki Warota,image/kigeki-warota.png,https://seirentoybox.jimdofree.com,#セレソー作,女性,妖精|双子,,サーカス団員,リボン,ギザ歯
32,創星宙,きずぼし そら,Kizuboshi Sora,image/kizuboshi-sora.png,https://nyaruru.wixsite.com/s-p-w,#創星宙,男性,神|不老|不死,,犯罪者,ナイフ,傷|ほくろ
33,キ音キネ,きね きね,Kine Kine,image/kine-kine.png,https://kinomihautaimas.wixsite.com/dongurihiroba,#きのみあーと,女性,人間,,,ピアス|首輪|指輪,黒ベタ目|高身長|ボディペイント
34,凶街モルテ,きょうまち もるて,Kyomachi Morte,image/kyomachi-morte.png,https://utaunanaproplus.wixsite.com/of-web,#TNPGateway,男性,故人|幽霊,,人喰い,骨,両目隠れ
35,輝星惑,きらぼし わく,Kiraboshi Waku,image/kiraboshi-waku.png,https://nyaruru.wixsite.com/s-p-w,#輝星惑,男性,宇宙人|元ヤン,,警察官,ヘアピン|眼鏡,グラデーションカラー
36,玖婥えれん,くじゃく えれん,Kuzyaku Eren,image/kuzyaku-eren.png,https://hznonoka.wixsite.com/utau,#あひのん|#玖婥えれん,男性,人間,,アイドル,ヘアピン,
37,口無アヲ,くちなし あを,Kuchinashi Awo,image/kuchinashi-awo.png,https://nichikuniku1129063.wixsite.com/website-3,#Pietà_,女性,機械,,サポーター|カウンセラー,,メッシュ
38,黒昴宿,くろぼうすく,Kurobousuku,image/kurobousuku.png,https://subarumusicstore.studio.site,#赤黒快日,男性,人間,,,,
39,蛍(ケイ),けい,Kei,image/kei.png,http://park2.wakwak.com/~mbox/vo/hk/hkfre.htm,#蛍_UTAU,男性,人間,,学生,,
40,京音ロン,けいね ろん,Keine Ron,image/keine-ron.png,https://keineron.wixsite.com/index,#京音ロン,男性,人間,,,,
41,ゲキヤク,げきやく,Gekiyaku,image/gekiyaku.png,https://kurukuru2suuzi.wixsite.com/kuzutokaze,#くずかぜ,女性,人間,,,ヘイロー|包帯,アホ毛
42,蹴堕流激,けだるげ,Kedaruge,image/kedaruge.png,https://kakokyu102krbs.wixsite.com/greenmilky,#グリーンミルキー,男性,人間,,,,
43,​狐隠黒途,こおん こくと,Kon Kokuto,image/kon-kokuto.png,https://chunyinhui021.wixsite.com/mutyuusaisei,#無中彩声,男性,妖怪|長寿,狐,,,ケモ耳|メッシュ|尻尾
44,​黒板係,こくばんがかり,kokubangakari,image/kokubangakari.png,https://utauudon.wixsite.com/origamisyokudou,#折紙食堂,女性,人間,,学生,マスク,
45,心音フタバ,こころね ふたば,Kokorone Futaba,image/kokorone-futaba.png,https://hinagitsune-utau.wixsite.com/utaukokorone,#ウタウココロネ,女性,人間,,学生|アイドル,リボン|カチューシャ,
46,鼓童拍也,こどう はくや,Kodou Hakuya,image/kodou-hakuya.png,https://nananasyrup.wixsite.com/13kka,#いちみっか,,,,,,
47,サイカ,さいか,Saika,image/saika.png,https://nichikuniku1129063.wixsite.com/website-3,#Pietà_,女性,悪魔,,,髪飾り,インナーカラー|羽
48,サヴル,さゔる,Savul,image/savul.png,https://ne510channel.wixsite.com/website,#はなときつねごと,,,,,,
49,さてね,さてね,Satene,image/satene.png,https://lit.link/sereinrain,#さてね_UTAU,,,,,,
50,鯖音カン,さばね かん,Sabane Kan,image/sabane-kan.png,https://witchdoll.jimdofree.com,#きちゃーと,,,,,,
51,ジウラ・カザギリ,じうら かざぎり,Jiura Kazagiri,image/jiura-kazagiri.png,https://tsukimiya0728.wixsite.com/silverbullet,#ツキノファミリー,,,,,,
52,シオン,しおん,Shion,image/shion.png,https://nichikuniku1129063.wixsite.com/website-3,#Pietà_,男性,機械,,サポーター,,
53,偲音ミヨ,しおん みよ,Shion Miyo,image/shion-miyo.png,https://utau.kurotsuka.xyz,#闇塚亭,,,,,,
54,屍泥飴,しでい,Shidei,image/shidei.png,https://kakokyu102krbs.wixsite.com/greenmilky,#グリーンミルキー,女性,人間,,,,オッドアイ|アホ毛
55,心理,しんり,Shinri,image/shinri.png,https://shinri517.wixsite.com/shinri0517,#心理相談ダイヤル,,,,,,
56,すい,すい,Sui,image/sui.png,https://minazukiringo.wixsite.com/amatsubu,#あまつぶと声,,,,,,
57,鈴音スズ,すずの すず,Suzuno Suzu,image/suzuno-suzu.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
58,鈴音ミオン,すずの みおん,Suzuno Mion,image/suzuno-mion.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
59,星雲アマト,せいうん あまと,Seiun Amato,image/seiun-amato.png,https://offlamingo21.wixsite.com/amato-seiun,#星雲アマト,,,,,,
60,仟乃宮紫狼,せんのみや しろう,Sennomiya Sirou,image/sennomiya-sirou.png,http://park2.wakwak.com/~mbox/vo/hk/hkfre.htm,#仟乃宮紫狼,男性,使い魔,犬,,,
61,​星音ななし,そらね ななし,Sorane Nanashi,image/sorane-nanashi.png,https://rinnneuta.wixsite.com/my-site-2?s=09,#君の心音は星の音,,,,,,
62,​地守葉風,ちもり はかぜ,Chimori Hakaze,image/chimori-hakaze.png,https://lenskkpb.wixsite.com/len-sakaki-official,#廻音怪譚,男性,人間|怪異,ドッペルゲンガー,学生,耳標,インナーカラー|片目隠れ
63,茶歌成,ちゃか なり,Chaka Nari,image/chaka-nari.png,https://chaka000.wixsite.com/chaka,#御茶と歌,,,,,,
64,ちゃんこ鍋,ちゃんこなべ,Chankonabe,image/chankonabe.png,https://ichistart.wixsite.com/official/respiaker,#ichistar,男性,機械,,,ヘッドホン,
65,椿音灰鬼,ちゅんね はいき,Chunne Haiki,image/chunne-haiki.png,https://chunyinhui021.wixsite.com/mutyuusaisei,#無中彩声,女性,吸血鬼,,,,アホ毛|メッシュ
66,九十九一音​,つくも いちおと,Tsukumo Ichioto,image/tsukumo-ichioto.png,https://yukiichik.wixsite.com/kokofool/utau,#KODOMEROIDO,,,,,,
67,創音みか,つくりね みか,Tsukurine Mika,image/tsukurine-mika.png,https://nananasyrup.wixsite.com/13kka,#いちみっか,,,,,,
68,​弦音ステラ,つるね すてら,Tsurune Sutera,image/tsurune-sutera.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
69,寺戸ラヴ,てらど らぶ,Terado Rabu,image/terado-rabu.png,https://witchdoll.jimdofree.com,#きちゃーと,,,,,,
70,寺永十逸,てらなが とおいち,Teranaga Toichi,image/teranaga-toichi.png,https://yukiichik.wixsite.com/kokofool/utau,#KODOMEROIDO,,,,,,
71,透唄氷雨,とうた ひさめ,Tota Hisame,image/tota-hisame.png,https://suihankinonaka.wixsite.com/my-site-1,#お米炊けたよ,,,,,,
72,轟まだら,とどろき まだら,Todoroki Madara,image/todoroki-madara.png,https://suihankinonaka.wixsite.com/my-site-1,#お米炊けたよ,,,,,,
73,駑馬十駕,どば じゅうが,Doba Juga,image/doba-juga.png,https://lit.link/nemukoneko,#十駕走行録,,,,,,
74,取音テア,とるね てあ,Torune Tea,image/torune-tea.png,https://amiseniamnu.wixsite.com/amisenia,#取音テア,,,,,,
75,ドルン,どるん,Dolln,image/dolln.png,https://seirentoybox.jimdofree.com,#セレソー作,女性,人形,,,リボン,
76,ナースロボ_タイプT,なーすろぼ_たいぷてぃ,NurseRobot_TypeT,image/nurserobot-typet.png,https://www.krnr.top,#ナースロボ_タイプＴ,,,,,,
77,詠冥ミジ,ながくら みじ,Nagakura Miji,image/nagakura-miji.png,https://666not.wixsite.com/partition-voyage,#ミジのみち,,,,,,
78,流音ナナシ,ながれね ななし,Nagarene Nanashi,image/nagarene-nanashi.png,https://rinnneuta.wixsite.com/my-site-2?s=09,#君の心音は星の音,,,,,,
79,猫垣一姫,なこがき いつき,Nakogaki Itsuki,image/nakogaki-itsuki.png,http://park2.wakwak.com/~mbox/vo/hk/hkfre.htm,#猫垣一姫,女性,動物,猫,,リボン,ケモ耳|尻尾
80,撫音小鞠,なでね こまり,Nadene Komari,image/nadene-komari.png,https://lonelyapple011.wixsite.com/nadenade,#撫音小鞠,,,,,,
81,猫耳宇宙服,ねこみみうちゅうふく,Nekomimiuchufuku,image/nekomimiuchufuku.png,https://nyaruru.wixsite.com/s-p-w,#mono_猫耳宇宙服,無性別,宇宙人,宇宙|猫,,,ケモ耳|髭
82,眠井ヨウ,ねむい よう,Nemui You,image/nemui-you.png,https://sysynmnm.wixsite.com/oyasumi-zzz,#ひつじの寝床,,,,,,
83,寝村ナイ,ねむら ない,Nemura Nai,image/nemura-nai.png,https://sysynmnm.wixsite.com/oyasumi-zzz,#ひつじの寝床,,,,,,
84,ねんねこ,ねんねこ,Nenneko,image/nenneko.png,https://lit.link/nemukoneko,#ねんねこちゃんろぐ,,,,,,
85,覗キ視炉,のぞき みろ,Nozoki Miro,image/nozoki-miro.png,-,覗キ視炉(UTAU),,,,,,
86,悲檄むりぽ,ひげき むりぽ,Higeki Muripo,image/higeki-muripo.png,https://seirentoybox.jimdofree.com,#セレソー作,男性,妖精|双子,,サーカス団員,リボン,ギザ歯
87,フィス,ふぃす,Fis,image/fis.png,https://seirentoybox.jimdofree.com,#セレソー作,男性,人間,,,眼鏡,片目隠れ
88,ふっきんちゃん,ふっきんちゃん,Abschan,image/abschan.png,https://abschandayo.wixsite.com/abschan,#ふきふき見せろ,,,,,,
89,芳歌ノト,ほうが のと,Hoga Not,image/hoga-not.png,https://uta-tsunagi.jimdofree.com,#歌継荘,,,,,,
90,星河ティア,ほしかわ てぃあ,Hoshikawa Tia,image/hoshikawa-tia.png,https://nyaruru.wixsite.com/s-p-w,#星河ティア,女性,宇宙人,,学生,ヘアピン,
91,星河フレア,ほしかわ ふれあ,Hoshikawa Furea,image/hoshikawa-furea.png,https://nyaruru.wixsite.com/s-p-w,#星河フレア,女性,宇宙人,,警察官,ヘアピン,
92,星詠ゆめ,ほしよみ ゆめ,Hosiyomi Yume,image/hosiyomi-yume.png,https://hosiyomi.jimdofree.com,#星詠ゆめ,,,,,,
93,蛍(ほたる),ほたる,Hotaru,image/hotaru.png,http://park2.wakwak.com/~mbox/vo/hk/hkfre.htm,#蛍_UTAU,女性,人間,,学生,,
94,松田っぽいね,まつだっぽいね,Matsudappoine,image/matsudappoine.png,http://lllll17.web.fc2.com/index.html,#松田っぽいね,,,,,,
95,松田っぽいよ,まつだっぽいよ,Matsudappoiyo,image/matsudappoiyo.png,http://lllll17.web.fc2.com/index.html,#松田っぽいよ,,,,,,
96,​沫幸チトセ,まつゆき ちとせ,Matsuyuki Chitose,image/matsuyuki-chitose.png,https://nichikuniku1129063.wixsite.com/website-3,#Pietà_,女性,人間,,殺し屋,,片目隠れ|火傷|ほくろ
97,円音春二ノ前,まるね しゅんいち,Marune Shunichi,image/marune-shunichi.png,https://www.postype.com/@utau-deepvocal-dalso,#円音春二ノ前,,,,,,
98,​みくじ,みくじ,mikuji,image/mikuji.png,https://utauudon.wixsite.com/origamisyokudou,#折紙食堂,男性,人間,,,,隻眼
99,Mx.ドリーム,みくす どりーむ,Mx.Dream,image/mx-dream.png,https://utauudon.wixsite.com/origamisyokudou,#折紙食堂,無性別,人間|長寿,,魔法使い|手品師,,
100,苺愛みゅみゅ,めるあ みゅみゅ,Melua Miumiu,image/melua-miumiu.png,https://utausuzuminnya.jimdofree.com,#みゅみゅあーと,女性,吸血鬼,兎|さくらんぼ,魔法使い,カチューシャ|髪飾り,
101,ykzroid-5000 HSC TG,やかずろいど,Yakazuroid,image/yakazuroid.png,https://moqujc.wixsite.com/mqtop,#MQAW,男性,機械,,,ゴーグル,両目隠れ
102,闇塚黒逸,やみつか くろいつ,Yamitsuka Kuroitsu,image/yamitsuka-kuroitsu.png,https://utau.kurotsuka.xyz,#闇塚亭,,,,,,
103,夢路語,ゆめじ かたり,Yumeji Katari,image/yumeji-katari.png,https://tourist100f.wixsite.com/utakata-kosyo,#泡沫古書店,男性,人間,,書店員,眼鏡,
104,揺音リオ,ゆらぎね りお,Yuragine Rio,image/yuragine-rio.png,https://nanyuanxiaojieji.wixsite.com/yuragine-kannsokujo,#観測レポートを共有します,,,,,,
105,欲音ルコ,よくね るこ,Yokune Ruko,image/yokune-ruko.png,https://long-sleeper.net,#欲音ルコ,,,,,,
106,​四方通ニチ,よもつ にち,Yomotsu Nichi,image/yomotsu-nichi.png,https://nichikuniku1129063.wixsite.com/website-3,#Pietà_,女性,天使|長寿,,カウンセラー,ヘイロー|十字架,インナーカラー|片目隠れ
107,ラロ,らろ,Laro,image/laro.png,https://mareffys.wixsite.com/lalo,#どっかのラララボ,,,,,,
108,リヴィ・リヴァーチェ,りゔぃ りゔぁーちぇ,Rivi Revace,image/rivi-revace.png,https://seirentoybox.jimdofree.com,#セレソー作,男性,機械,,執事,,オッドアイ
109,緑恵,りえ,Rie,image/rie.png,https://kakokyu102krbs.wixsite.com/greenmilky,#グリーンミルキー,男性,,,,,ほくろ
110,燐葉フォミ,りんよう ふぉみ,Rinyou Fuomi,image/rinyou-fuomi.png,https://tsukimiya0728.wixsite.com/silverbullet,#ツキノファミリー,,,,,,
111,レインレコード,れいんれこーど,Reinrekodo,image/reinrekodo.png,https://bowlroll.net/user/980255,#歌う雨やどり,男性,機械,,司書,ゴーグル,両目隠れ
112,レーヨン,れーよん,Rayon,image/rayon.png,https://cloudcatch1224.wixsite.com/godsfoot,#神様の足元,女性,人間,,ソーイングスタッフ,ヘイロー|カチューシャ,羽|尖耳|ギザ歯
113,琴音セツリ,ことね せつり,Kotone Setsuri,image/kotone-setsuri.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
114,飯音モグ,いいね もぐ,Ine Mogu,image/ine-mogu.png,https://bowlroll.net/file/333777,飯音モグ(UTAU),,,,,,
115,寅ノ刻遭愛,とらのこく あめ,Toranokoku Ame,image/toranokoku-ame.png,https://ne510channel.wixsite.com/website,#はなときつねごと|#十二ノ刻,,,,,,
116,コタロー,こたろー,Cotaro,image/cotaro.png,https://cloudcatch1224.wixsite.com/godsfoot,#神様の足元,男性,人間|機械,磁石,地磁気調査,イヤーユニット,メッシュ|尻尾
117,ルテニ,るてに,Ruteni,image/ruteni.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
118,地獄谷透馬,じごくだに とうま,Jigokudani Thoma,image/jigokudani-thoma.png,https://flowerrocklove.wixsite.com/twilight-crisis,#硫黄荘音源,,,,,,
119,笛音フエ,ふえね ふえ,Fuene Fue,image/fuene-fue.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
120,ペチカ,ぺちか,Pechka,image/pechka.png,https://mebisnori.wixsite.com/nori-mebis,#紫陽花ノ楽譜ト,,,,,,
121,狂威ノイズ,くるい のいず,Kurui Noise,image/kurui-noise.png,https://zakrotsukumo.wixsite.com/utau-zerozero,#狂威家,,,,,,
122,鼓音ツヅ,つづね つづ,Tsuzune Tsuzu,image/tsuzune-tsuzu.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
123,​成瀬ミオ,なるせ みお,Naruse Mio,image/naruse-mio.png,https://nanyuanxiaojieji.wixsite.com/yuragine-kannsokujo,#観測レポートを共有します,,,,,,
124,レイイチロウ,れいいちろう,Reiichiro,image/reiichiro.png,https://mareffys.wixsite.com/lalo,#どっかのラララボ,,,,,,
125,​諤,がく,Gaku,image/gaku.png,https://shiromeneko162.wixsite.com/shiromean-official,#シロメ人類,,,,,,
126,ミカワヤ,みかわや,Mikawaya,image/mikawaya.png,https://mikawayanerutoko.jimdofree.com,#nerutoko,,,,,,
127,コハル,こはる,Koharu,image/koharu.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
128,黒羽みそら,くろはね みそら,Kurohane Misora,image/kurohane-misora.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
129,空音響,からね ひびく,Karane Hibiku,image/karane-hibiku.png,https://kaitoramma.chu.jp,#空音絵巻,男性,人間,,,銃,
130,Wilbur,うぃるばー,Wilbur,image/wilbur.png,https://kuroi9603.wixsite.com/delu-lab-south,#でるらぼ,男性,人間,,,,
131,水沫烏有,みなあわ うゆう,Minaawa Uyu,image/minaawa-uyu.png,https://okome32500.wixsite.com/onekomochi,#水沫烏有,,,,,,
132,籠詞鮫,こもりじ きょう,Komoriji Kyo,image/komoriji-kyo.png,https://suihankinonaka.wixsite.com/my-site-1,#お米炊けたよ,,,,,,
133,揺音ユイ,ゆらぎね ゆい,Yuragine Yui,image/yuragine-yui.png,https://nanyuanxiaojieji.wixsite.com/yuragine-kannsokujo,#観測レポートを共有します,,,,,,
134,狐鳴琴陽,こなり こはる,Konari Koharu,image/konari-koharu.png,https://osomatsu-poid.wixsite.com/konari-san-chi,#狐鳴さんち,,,,,,
135,花束町めら,かづかまち めら,kazukamachi Mera,image/kazukamachi-mera.png,https://sites.google.com/view/fukuma-utau/top,#花束町めら,,,,,,
136,曖米めろり,あいまい めろり,Aimai Merori,image/aimai-merori.png,https://suihankinonaka.wixsite.com/my-site-1,#お米炊けたよ,,,,,,
137,形亡ズゥ,かたなし ずぅ,Katanashi zu,image/katanashi-zu.png,https://inudanuki.wixsite.com/gottaniomotyabako,#煮バコ,女性,故人|ゾンビ,,,アイバンド,ツートンカラー|片目隠れ
138,飴唄ニム,あめうた にむ,Ameuta Nimu,image/ameuta-nimu.png,https://ametro.jimdofree.com,#ぞんび線CB,,,,,,
139,鈴音シオン,すずの しおん,Suzuno Shion,image/suzuno-shion.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
140,学静ショウ,がくせい しょう,Gakusei Sho,image/gakusei-sho.png,https://bowlroll.net/file/336695,#学静出席簿,,,,,,
141,六見：Ｑ,むつみ きゅう,Mutsumi Q,image/mutsumi-q.png,https://sites.google.com/view/qsuke-garden/home,#六見Q,,,,,,
142,悪戯清子,いたずら せいこ,Itazura Seiko,image/itazura-seiko.png,https://bowlroll.net/user/700434,悪戯清子(UTAU),,,,,,
143,ウフーロ・ジョホマウ・シフショ,うふーろ じょほまう しふしょ,Ufuro Johomau Shifusyo,image/ufuro-johomau-shifusyo.png,https://kinomihautaimas.wixsite.com/dongurihiroba,#きのみあーと,女性,人間|不老|不死|長寿,,魔法使い,杖,
144,鈴音ルオン,すずの るおん,Suzuno Ruon,image/suzuno-ruon.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
145,空深あくる,うつみ あくる,Utsumi Akuru,image/utsumi-akuru.png,https://kairi0utau.wixsite.com/arugamamanouta,#あるがままのうた,,,,,,
146,飴唄ニト,あめうた にと,Ameuta Nito,image/ameuta-nito.png,https://ametro.jimdofree.com,#ぞんび線CB,,,,,,
147,飴彩ねるね,あめいろ ねるね,Ameiro Nerune,image/ameiro-nerune.png,https://inudanuki.wixsite.com/gottaniomotyabako,#煮バコ,女性,人間,兎,,,グラデーションカラー
148,クリノクロア,くりのくろあ,Clinochlore,image/clinochlore.png,https://cmamizki.wixsite.com/edelstein,クリノクロア(UTAU),,,,,,
149,音々尾ミュー,ねねお みゅー,Neneo mu,image/neneo-mu.png,https://hinoyuzirenraku.wixsite.com/mu-neneo,音々尾ミュー(UTAU),,,,,,
150,狂威ネイロ,くるい ねいろ,Kurui Neiro,image/kurui-neiro.png,https://zakrotsukumo.wixsite.com/utau-zerozero,#狂威家,,,,,,
151,弦音レーヤ,つるね れーや,Tsurune Reya,image/tsurune-reya.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
152,Alma,あるま,Alma,image/alma.png,https://kairi0utau.wixsite.com/arugamamanouta,#あるがままのうた,,,,,,
153,不知英,しらず はな,Shirazu Hana,image/shirazu-hana.png,https://makurakue.wixsite.com/kemononokemono,#けもののけもの,,,,,,
154,徒事解,あだごと かい,Adagoto Kai,image/adagoto-kai.png,https://askdance.wixsite.com/monitor-room/monitor-room,#meta世界より,,,,,,
155,空音こだま,からね こだま,Karane Kodama,image/karane-kodama.png,https://kaitoramma.chu.jp,#空音絵巻,女性,人間|長寿,,,,
156,芯零須キシル,しんれす きしる,Shinresu Kishiru,image/shinresu-kishiru.png,https://bowlroll.net/user/973681,#芯零須キシル,,,,,,
157,Key.Flow,きーふろー,Key.Flow,image/key-flow.png,https://nyaruru.wixsite.com/s-p-w,#UTA打KyeFlow,無性別,機械,キーボード,サポーター,,尻尾
158,Silver Destrudo,しるばー ですとりゅーどー,Silver Destrudo,image/silver-destrudo.png,https://flowerrocklove.wixsite.com/twilight-crisis,#硫黄荘音源,,,,,,
159,マック音サイ,まっくね さい,Mackne Sai,image/mackne-sai.png,https://www.mackhouse-soft.com,マック音サイ(UTAU),,,,,,
160,鈴音ユオン,すずの ゆおん,Suzuno Yuon,image/suzuno-yuon.png,https://bellsworks.wixsite.com/bellsworks,#べるずわーくす,,,,,,
161,澳音ぱす,おくと ぱす,Okuto Pasu,image/okuto-pasu.png,https://teapartyandmugshelf.wixsite.com/my-site-1,澳音ぱす(UTAU),,,,,,
162,ペルム,ぺるむ,Pelum,image/pelum.png,https://ne510channel.wixsite.com/website,#はなときつねごと,,,,,,
163,​棺依ハク,かんい はく,Kani Haku,image/kani-haku.png,https://inumokoco.wixsite.com/sleep-church,#楽園の子守唄,,,,,,
164,律時シドク,りつどき しどく,"	​Ritsudoki Shidoku","image/	​ritsudoki-shidoku.png",https://zaregotohitori.wixsite.com/ritsudokishidoku,律時シドク(UTAU),,,,,,
165,吟児,ぎんじ,Ginji,image/ginji.png,https://yautau.wixsite.com/0909,吟児(UTAU),,,,,,
166,田村春,たむら しゅん,Tamura Shun,image/tamura-shun.png,https://piku.page/@toitoitoi23,#めんのこ,,,,,,
167,八雲しお,やくも しお,Yakumo Shio,image/yakumo-shio.png,https://makurakue.wixsite.com/kemononokemono,#けもののけもの,,,,,,
168,626,むつろ,Mutsuro,image/mutsuro.png,https://nanarabo626.studio.site,#製造番号626,,,,,,
169,踊弦コレ,ようげん これ,Yogen Kore,image/yogen-kore.png,https://kaedekatusaki.wixsite.com/yanagiroutyou,#柳楼町観測所,,,,,,
170,閉路,へいろ,Heiro,image/heiro.png,https://cloudcatch1224.wixsite.com/godsfoot,#神様の足元,男性,バーチャル,,,ヘイロー,メッシュ
171,九作：Ｑ,きゅうさく きゅう,Kyusaku Q,image/kyusaku-q.png,https://sites.google.com/view/qsuke-garden/home,#九作Q,,,,,,
172,116,ひいろ,Hiiro,image/hiiro.png,https://nanarabo626.studio.site,#ひーろーあーと,,,,,,
173,ジド,じど,Jido,image/jido.png,https://makaron3264.wixsite.com/utauotoohana,#奈落の天蓋,,,,,,
